areaCode,areaName,areaType,date,newCasesByPublishDateChange
K02000001,United Kingdom,overview,2021-04-18,-516
K02000001,United Kingdom,overview,2021-04-17,-1235
K02000001,United Kingdom,overview,2021-04-16,-1686
K02000001,United Kingdom,overview,2021-04-15,-1384
K02000001,United Kingdom,overview,2021-04-14,-2475
K02000001,United Kingdom,overview,2021-04-13,-3492
K02000001,United Kingdom,overview,2021-04-12,-5246
K02000001,United Kingdom,overview,2021-04-11,-7944
K02000001,United Kingdom,overview,2021-04-10,-8942
K02000001,United Kingdom,overview,2021-04-09,-9400
K02000001,United Kingdom,overview,2021-04-08,-11933
K02000001,United Kingdom,overview,2021-04-07,-12402
K02000001,United Kingdom,overview,2021-04-06,-12666
K02000001,United Kingdom,overview,2021-04-05,-12344
K02000001,United Kingdom,overview,2021-04-04,-11140
K02000001,United Kingdom,overview,2021-04-03,-11025
K02000001,United Kingdom,overview,2021-04-02,-10605
K02000001,United Kingdom,overview,2021-04-01,-6435
K02000001,United Kingdom,overview,2021-03-31,-4423
K02000001,United Kingdom,overview,2021-03-30,-3023
K02000001,United Kingdom,overview,2021-03-29,-1599
K02000001,United Kingdom,overview,2021-03-28,-658
K02000001,United Kingdom,overview,2021-03-27,1486
K02000001,United Kingdom,overview,2021-03-26,2411
K02000001,United Kingdom,overview,2021-03-25,-781
K02000001,United Kingdom,overview,2021-03-24,-1325
K02000001,United Kingdom,overview,2021-03-23,-1340
K02000001,United Kingdom,overview,2021-03-22,-1897
K02000001,United Kingdom,overview,2021-03-21,-1773
K02000001,United Kingdom,overview,2021-03-20,-3026
K02000001,United Kingdom,overview,2021-03-19,-3585
K02000001,United Kingdom,overview,2021-03-18,-1116
K02000001,United Kingdom,overview,2021-03-17,-486
K02000001,United Kingdom,overview,2021-03-16,-777
K02000001,United Kingdom,overview,2021-03-15,-930
K02000001,United Kingdom,overview,2021-03-14,-2050
K02000001,United Kingdom,overview,2021-03-13,-2349
K02000001,United Kingdom,overview,2021-03-12,-3237
K02000001,United Kingdom,overview,2021-03-11,-6475
K02000001,United Kingdom,overview,2021-03-10,-10067
K02000001,United Kingdom,overview,2021-03-09,-13161
K02000001,United Kingdom,overview,2021-03-08,-14634
K02000001,United Kingdom,overview,2021-03-07,-19077
K02000001,United Kingdom,overview,2021-03-06,-22018
K02000001,United Kingdom,overview,2021-03-05,-23596
K02000001,United Kingdom,overview,2021-03-04,-24524
K02000001,United Kingdom,overview,2021-03-03,-23184
K02000001,United Kingdom,overview,2021-03-02,-22411
K02000001,United Kingdom,overview,2021-03-01,-22449
K02000001,United Kingdom,overview,2021-02-28,-16387
K02000001,United Kingdom,overview,2021-02-27,-13726
K02000001,United Kingdom,overview,2021-02-26,-13656
K02000001,United Kingdom,overview,2021-02-25,-13269
K02000001,United Kingdom,overview,2021-02-24,-12634
K02000001,United Kingdom,overview,2021-02-23,-10149
K02000001,United Kingdom,overview,2021-02-22,-9752
K02000001,United Kingdom,overview,2021-02-21,-14967
K02000001,United Kingdom,overview,2021-02-20,-18702
K02000001,United Kingdom,overview,2021-02-19,-20754
K02000001,United Kingdom,overview,2021-02-18,-21607
K02000001,United Kingdom,overview,2021-02-17,-27310
K02000001,United Kingdom,overview,2021-02-16,-33204
K02000001,United Kingdom,overview,2021-02-15,-35941
K02000001,United Kingdom,overview,2021-02-14,-36105
K02000001,United Kingdom,overview,2021-02-13,-36475
K02000001,United Kingdom,overview,2021-02-12,-36534
K02000001,United Kingdom,overview,2021-02-11,-42529
K02000001,United Kingdom,overview,2021-02-10,-43435
K02000001,United Kingdom,overview,2021-02-09,-43352
K02000001,United Kingdom,overview,2021-02-08,-42125
K02000001,United Kingdom,overview,2021-02-07,-41210
K02000001,United Kingdom,overview,2021-02-06,-44883
K02000001,United Kingdom,overview,2021-02-05,-50147
K02000001,United Kingdom,overview,2021-02-04,-51364
K02000001,United Kingdom,overview,2021-02-03,-52530
K02000001,United Kingdom,overview,2021-02-02,-60021
K02000001,United Kingdom,overview,2021-02-01,-70038
K02000001,United Kingdom,overview,2021-01-31,-81790
K02000001,United Kingdom,overview,2021-01-30,-81468
K02000001,United Kingdom,overview,2021-01-29,-78985
K02000001,United Kingdom,overview,2021-01-28,-83303
K02000001,United Kingdom,overview,2021-01-27,-84881
K02000001,United Kingdom,overview,2021-01-26,-79904
K02000001,United Kingdom,overview,2021-01-25,-78816
K02000001,United Kingdom,overview,2021-01-24,-72110
K02000001,United Kingdom,overview,2021-01-23,-79858
K02000001,United Kingdom,overview,2021-01-22,-90655
K02000001,United Kingdom,overview,2021-01-21,-87447
K02000001,United Kingdom,overview,2021-01-20,-80593
K02000001,United Kingdom,overview,2021-01-19,-86770
K02000001,United Kingdom,overview,2021-01-18,-89975
K02000001,United Kingdom,overview,2021-01-17,-93956
K02000001,United Kingdom,overview,2021-01-16,-77664
K02000001,United Kingdom,overview,2021-01-15,-56861
K02000001,United Kingdom,overview,2021-01-14,-29801
K02000001,United Kingdom,overview,2021-01-13,-29139
K02000001,United Kingdom,overview,2021-01-12,-2043
K02000001,United Kingdom,overview,2021-01-11,21121
K02000001,United Kingdom,overview,2021-01-10,51135
K02000001,United Kingdom,overview,2021-01-09,75674
K02000001,United Kingdom,overview,2021-01-08,95496
K02000001,United Kingdom,overview,2021-01-07,101288
K02000001,United Kingdom,overview,2021-01-06,120577
K02000001,United Kingdom,overview,2021-01-05,119064
K02000001,United Kingdom,overview,2021-01-04,127614
K02000001,United Kingdom,overview,2021-01-03,118236
K02000001,United Kingdom,overview,2021-01-02,88320
K02000001,United Kingdom,overview,2021-01-01,74925
K02000001,United Kingdom,overview,2020-12-31,58583
K02000001,United Kingdom,overview,2020-12-30,47062
K02000001,United Kingdom,overview,2020-12-29,50352
K02000001,United Kingdom,overview,2020-12-28,52375
K02000001,United Kingdom,overview,2020-12-27,57455
K02000001,United Kingdom,overview,2020-12-26,80363
K02000001,United Kingdom,overview,2020-12-25,77274
K02000001,United Kingdom,overview,2020-12-24,79891
K02000001,United Kingdom,overview,2020-12-23,89816
K02000001,United Kingdom,overview,2020-12-22,84323
K02000001,United Kingdom,overview,2020-12-21,72137
K02000001,United Kingdom,overview,2020-12-20,64581
K02000001,United Kingdom,overview,2020-12-19,48275
K02000001,United Kingdom,overview,2020-12-18,48688
K02000001,United Kingdom,overview,2020-12-17,47227
K02000001,United Kingdom,overview,2020-12-16,38893
K02000001,United Kingdom,overview,2020-12-15,30718
K02000001,United Kingdom,overview,2020-12-14,23402
K02000001,United Kingdom,overview,2020-12-13,20245
K02000001,United Kingdom,overview,2020-12-12,24187
K02000001,United Kingdom,overview,2020-12-11,17892
K02000001,United Kingdom,overview,2020-12-10,12794
K02000001,United Kingdom,overview,2020-12-09,4033
K02000001,United Kingdom,overview,2020-12-08,1582
K02000001,United Kingdom,overview,2020-12-07,4861
K02000001,United Kingdom,overview,2020-12-06,-647
K02000001,United Kingdom,overview,2020-12-05,-12271
K02000001,United Kingdom,overview,2020-12-04,-15943
K02000001,United Kingdom,overview,2020-12-03,-20449
K02000001,United Kingdom,overview,2020-12-02,-23133
K02000001,United Kingdom,overview,2020-12-01,-22486
K02000001,United Kingdom,overview,2020-11-30,-33369
K02000001,United Kingdom,overview,2020-11-29,-36162
K02000001,United Kingdom,overview,2020-11-28,-35955
K02000001,United Kingdom,overview,2020-11-27,-38936
K02000001,United Kingdom,overview,2020-11-26,-41755
K02000001,United Kingdom,overview,2020-11-25,-46950
K02000001,United Kingdom,overview,2020-11-24,-48895
K02000001,United Kingdom,overview,2020-11-23,-40504
K02000001,United Kingdom,overview,2020-11-22,-34578
K02000001,United Kingdom,overview,2020-11-21,-23888
K02000001,United Kingdom,overview,2020-11-20,-15000
K02000001,United Kingdom,overview,2020-11-19,-3937
K02000001,United Kingdom,overview,2020-11-18,15947
K02000001,United Kingdom,overview,2020-11-17,17061
K02000001,United Kingdom,overview,2020-11-16,17816
K02000001,United Kingdom,overview,2020-11-15,20203
K02000001,United Kingdom,overview,2020-11-14,13131
K02000001,United Kingdom,overview,2020-11-13,14270
K02000001,United Kingdom,overview,2020-11-12,9138
K02000001,United Kingdom,overview,2020-11-11,885
K02000001,United Kingdom,overview,2020-11-10,3588
K02000001,United Kingdom,overview,2020-11-09,327
K02000001,United Kingdom,overview,2020-11-08,-4013
K02000001,United Kingdom,overview,2020-11-07,2133
K02000001,United Kingdom,overview,2020-11-06,-2006
K02000001,United Kingdom,overview,2020-11-05,2987
K02000001,United Kingdom,overview,2020-11-04,3734
K02000001,United Kingdom,overview,2020-11-03,1271
K02000001,United Kingdom,overview,2020-11-02,5692
K02000001,United Kingdom,overview,2020-11-01,9718
K02000001,United Kingdom,overview,2020-10-31,9062
K02000001,United Kingdom,overview,2020-10-30,17000
K02000001,United Kingdom,overview,2020-10-29,18005
K02000001,United Kingdom,overview,2020-10-28,18444
K02000001,United Kingdom,overview,2020-10-27,27395
K02000001,United Kingdom,overview,2020-10-26,29938
K02000001,United Kingdom,overview,2020-10-25,32684
K02000001,United Kingdom,overview,2020-10-24,33986
K02000001,United Kingdom,overview,2020-10-23,28150
K02000001,United Kingdom,overview,2020-10-22,25056
K02000001,United Kingdom,overview,2020-10-21,24234
K02000001,United Kingdom,overview,2020-10-20,22832
K02000001,United Kingdom,overview,2020-10-19,21427
K02000001,United Kingdom,overview,2020-10-18,17973
K02000001,United Kingdom,overview,2020-10-17,3774
K02000001,United Kingdom,overview,2020-10-16,5063
K02000001,United Kingdom,overview,2020-10-15,10173
K02000001,United Kingdom,overview,2020-10-14,19359
K02000001,United Kingdom,overview,2020-10-13,20851
K02000001,United Kingdom,overview,2020-10-12,25558
K02000001,United Kingdom,overview,2020-10-11,32730
K02000001,United Kingdom,overview,2020-10-10,60087
K02000001,United Kingdom,overview,2020-10-09,64623
K02000001,United Kingdom,overview,2020-10-08,57821
K02000001,United Kingdom,overview,2020-10-07,47475
K02000001,United Kingdom,overview,2020-10-06,41351
K02000001,United Kingdom,overview,2020-10-05,36169
K02000001,United Kingdom,overview,2020-10-04,27295
K02000001,United Kingdom,overview,2020-10-03,11821
K02000001,United Kingdom,overview,2020-10-02,6611
K02000001,United Kingdom,overview,2020-10-01,9069
K02000001,United Kingdom,overview,2020-09-30,12028
K02000001,United Kingdom,overview,2020-09-29,13285
K02000001,United Kingdom,overview,2020-09-28,12889
K02000001,United Kingdom,overview,2020-09-27,14960
K02000001,United Kingdom,overview,2020-09-26,13735
K02000001,United Kingdom,overview,2020-09-25,13040
K02000001,United Kingdom,overview,2020-09-24,11271
K02000001,United Kingdom,overview,2020-09-23,8508
K02000001,United Kingdom,overview,2020-09-22,7653
K02000001,United Kingdom,overview,2020-09-21,6477
K02000001,United Kingdom,overview,2020-09-20,4403
K02000001,United Kingdom,overview,2020-09-19,4176
K02000001,United Kingdom,overview,2020-09-18,4935
K02000001,United Kingdom,overview,2020-09-17,5751
K02000001,United Kingdom,overview,2020-09-16,6459
K02000001,United Kingdom,overview,2020-09-15,6278
K02000001,United Kingdom,overview,2020-09-14,6798
K02000001,United Kingdom,overview,2020-09-13,8667
K02000001,United Kingdom,overview,2020-09-12,9598
K02000001,United Kingdom,overview,2020-09-11,8619
K02000001,United Kingdom,overview,2020-09-10,7684
K02000001,United Kingdom,overview,2020-09-09,6713
K02000001,United Kingdom,overview,2020-09-08,6022
K02000001,United Kingdom,overview,2020-09-07,4968
K02000001,United Kingdom,overview,2020-09-06,3979
K02000001,United Kingdom,overview,2020-09-05,3261
K02000001,United Kingdom,overview,2020-09-04,2376
K02000001,United Kingdom,overview,2020-09-03,1955
K02000001,United Kingdom,overview,2020-09-02,2082
K02000001,United Kingdom,overview,2020-09-01,1858
K02000001,United Kingdom,overview,2020-08-31,1842
K02000001,United Kingdom,overview,2020-08-30,1429
K02000001,United Kingdom,overview,2020-08-29,994
K02000001,United Kingdom,overview,2020-08-28,1385
K02000001,United Kingdom,overview,2020-08-27,734
K02000001,United Kingdom,overview,2020-08-26,447
K02000001,United Kingdom,overview,2020-08-25,14
K02000001,United Kingdom,overview,2020-08-24,-140
K02000001,United Kingdom,overview,2020-08-23,-307
K02000001,United Kingdom,overview,2020-08-22,-449
K02000001,United Kingdom,overview,2020-08-21,-341
K02000001,United Kingdom,overview,2020-08-20,637
K02000001,United Kingdom,overview,2020-08-19,763
K02000001,United Kingdom,overview,2020-08-18,1077
K02000001,United Kingdom,overview,2020-08-17,1614
K02000001,United Kingdom,overview,2020-08-16,1483
K02000001,United Kingdom,overview,2020-08-15,1823
K02000001,United Kingdom,overview,2020-08-14,1501
K02000001,United Kingdom,overview,2020-08-13,922
K02000001,United Kingdom,overview,2020-08-12,847
K02000001,United Kingdom,overview,2020-08-11,859
K02000001,United Kingdom,overview,2020-08-10,470
K02000001,United Kingdom,overview,2020-08-09,841
K02000001,United Kingdom,overview,2020-08-08,522
K02000001,United Kingdom,overview,2020-08-07,519
K02000001,United Kingdom,overview,2020-08-06,640
K02000001,United Kingdom,overview,2020-08-05,613
K02000001,United Kingdom,overview,2020-08-04,687
K02000001,United Kingdom,overview,2020-08-03,734
K02000001,United Kingdom,overview,2020-08-02,649
K02000001,United Kingdom,overview,2020-08-01,669
K02000001,United Kingdom,overview,2020-07-31,615
K02000001,United Kingdom,overview,2020-07-30,584
K02000001,United Kingdom,overview,2020-07-29,634
K02000001,United Kingdom,overview,2020-07-28,453
K02000001,United Kingdom,overview,2020-07-27,364
K02000001,United Kingdom,overview,2020-07-26,263
K02000001,United Kingdom,overview,2020-07-25,320
K02000001,United Kingdom,overview,2020-07-24,387
K02000001,United Kingdom,overview,2020-07-23,481
K02000001,United Kingdom,overview,2020-07-22,354
K02000001,United Kingdom,overview,2020-07-21,240
K02000001,United Kingdom,overview,2020-07-20,10
K02000001,United Kingdom,overview,2020-07-19,170
K02000001,United Kingdom,overview,2020-07-18,228
K02000001,United Kingdom,overview,2020-07-17,417
K02000001,United Kingdom,overview,2020-07-16,210
K02000001,United Kingdom,overview,2020-07-15,276
K02000001,United Kingdom,overview,2020-07-14,169
K02000001,United Kingdom,overview,2020-07-13,244
K02000001,United Kingdom,overview,2020-07-12,-415
K02000001,United Kingdom,overview,2020-07-11,-934
K02000001,United Kingdom,overview,2020-07-10,-1396
K02000001,United Kingdom,overview,2020-07-09,-1826
K02000001,United Kingdom,overview,2020-07-08,-2434
K02000001,United Kingdom,overview,2020-07-07,-2059
K02000001,United Kingdom,overview,2020-07-06,-2136
K02000001,United Kingdom,overview,2020-07-05,-1807
K02000001,United Kingdom,overview,2020-07-04,-1742
K02000001,United Kingdom,overview,2020-07-03,-1881
K02000001,United Kingdom,overview,2020-07-02,-1759
K02000001,United Kingdom,overview,2020-07-01,-1317
K02000001,United Kingdom,overview,2020-06-30,-1955
K02000001,United Kingdom,overview,2020-06-29,-2175
K02000001,United Kingdom,overview,2020-06-28,-2130
K02000001,United Kingdom,overview,2020-06-27,-2103
K02000001,United Kingdom,overview,2020-06-26,-1828
K02000001,United Kingdom,overview,2020-06-25,-1683
K02000001,United Kingdom,overview,2020-06-24,-1631
K02000001,United Kingdom,overview,2020-06-23,-1057
K02000001,United Kingdom,overview,2020-06-22,-760
K02000001,United Kingdom,overview,2020-06-21,-811
K02000001,United Kingdom,overview,2020-06-20,-330
K02000001,United Kingdom,overview,2020-06-19,-332
K02000001,United Kingdom,overview,2020-06-18,-246
K02000001,United Kingdom,overview,2020-06-17,-737
K02000001,United Kingdom,overview,2020-06-16,-1717
K02000001,United Kingdom,overview,2020-06-15,-1835
K02000001,United Kingdom,overview,2020-06-14,-2051
K02000001,United Kingdom,overview,2020-06-13,-2849
K02000001,United Kingdom,overview,2020-06-12,-3605
K02000001,United Kingdom,overview,2020-06-11,-3941
K02000001,United Kingdom,overview,2020-06-10,-3484
K02000001,United Kingdom,overview,2020-06-09,-2758
K02000001,United Kingdom,overview,2020-06-08,-2923
K02000001,United Kingdom,overview,2020-06-07,-2613
K02000001,United Kingdom,overview,2020-06-06,-2476
K02000001,United Kingdom,overview,2020-06-05,-2102
K02000001,United Kingdom,overview,2020-06-04,-2849
K02000001,United Kingdom,overview,2020-06-03,-3495
K02000001,United Kingdom,overview,2020-06-02,-3812
K02000001,United Kingdom,overview,2020-06-01,-3829
K02000001,United Kingdom,overview,2020-05-31,-4833
K02000001,United Kingdom,overview,2020-05-30,-5513
K02000001,United Kingdom,overview,2020-05-29,-5491
K02000001,United Kingdom,overview,2020-05-28,-4572
K02000001,United Kingdom,overview,2020-05-27,-4675
K02000001,United Kingdom,overview,2020-05-26,-4986
K02000001,United Kingdom,overview,2020-05-25,-5569
K02000001,United Kingdom,overview,2020-05-24,-5703
K02000001,United Kingdom,overview,2020-05-23,-4911
K02000001,United Kingdom,overview,2020-05-22,-4864
K02000001,United Kingdom,overview,2020-05-21,-5680
K02000001,United Kingdom,overview,2020-05-20,-7017
K02000001,United Kingdom,overview,2020-05-19,-9116
K02000001,United Kingdom,overview,2020-05-18,-9128
K02000001,United Kingdom,overview,2020-05-17,-8043
K02000001,United Kingdom,overview,2020-05-16,-8098
K02000001,United Kingdom,overview,2020-05-15,-8563
K02000001,United Kingdom,overview,2020-05-14,-9026
K02000001,United Kingdom,overview,2020-05-13,-7276
K02000001,United Kingdom,overview,2020-05-12,-2372
K02000001,United Kingdom,overview,2020-05-11,-959
K02000001,United Kingdom,overview,2020-05-10,-1176
K02000001,United Kingdom,overview,2020-05-09,-884
K02000001,United Kingdom,overview,2020-05-08,-81
K02000001,United Kingdom,overview,2020-05-07,2286
K02000001,United Kingdom,overview,2020-05-06,4153
K02000001,United Kingdom,overview,2020-05-05,1743
K02000001,United Kingdom,overview,2020-05-04,1028
K02000001,United Kingdom,overview,2020-05-03,987
K02000001,United Kingdom,overview,2020-05-02,-276
K02000001,United Kingdom,overview,2020-05-01,-782
K02000001,United Kingdom,overview,2020-04-30,-1810
K02000001,United Kingdom,overview,2020-04-29,-3294
K02000001,United Kingdom,overview,2020-04-28,-3073
K02000001,United Kingdom,overview,2020-04-27,-3719
K02000001,United Kingdom,overview,2020-04-26,-3019
K02000001,United Kingdom,overview,2020-04-25,-1070
K02000001,United Kingdom,overview,2020-04-24,-165
K02000001,United Kingdom,overview,2020-04-23,-59
K02000001,United Kingdom,overview,2020-04-22,-81
K02000001,United Kingdom,overview,2020-04-21,-1187
K02000001,United Kingdom,overview,2020-04-20,1128
K02000001,United Kingdom,overview,2020-04-19,993
K02000001,United Kingdom,overview,2020-04-18,-480
K02000001,United Kingdom,overview,2020-04-17,462
K02000001,United Kingdom,overview,2020-04-16,1603
K02000001,United Kingdom,overview,2020-04-15,1813
K02000001,United Kingdom,overview,2020-04-14,4371
K02000001,United Kingdom,overview,2020-04-13,3645
K02000001,United Kingdom,overview,2020-04-12,4924
K02000001,United Kingdom,overview,2020-04-11,9532
K02000001,United Kingdom,overview,2020-04-10,9742
K02000001,United Kingdom,overview,2020-04-09,10490
K02000001,United Kingdom,overview,2020-04-08,12730
K02000001,United Kingdom,overview,2020-04-07,14547
K02000001,United Kingdom,overview,2020-04-06,15732
K02000001,United Kingdom,overview,2020-04-05,15952
K02000001,United Kingdom,overview,2020-04-04,14092
K02000001,United Kingdom,overview,2020-04-03,14169
K02000001,United Kingdom,overview,2020-04-02,14563
K02000001,United Kingdom,overview,2020-04-01,13656
K02000001,United Kingdom,overview,2020-03-31,11317
K02000001,United Kingdom,overview,2020-03-30,10514
K02000001,United Kingdom,overview,2020-03-29,9631
K02000001,United Kingdom,overview,2020-03-28,8129
K02000001,United Kingdom,overview,2020-03-27,7379
K02000001,United Kingdom,overview,2020-03-26,5710
K02000001,United Kingdom,overview,2020-03-25,4733
K02000001,United Kingdom,overview,2020-03-24,4550
K02000001,United Kingdom,overview,2020-03-23,3885
K02000001,United Kingdom,overview,2020-03-22,3172
K02000001,United Kingdom,overview,2020-03-21,3102
K02000001,United Kingdom,overview,2020-03-20,2549
K02000001,United Kingdom,overview,2020-03-19,2203
K02000001,United Kingdom,overview,2020-03-18,1799
K02000001,United Kingdom,overview,2020-03-17,1255
K02000001,United Kingdom,overview,2020-03-16,941
K02000001,United Kingdom,overview,2020-03-15,884
K02000001,United Kingdom,overview,2020-03-14,672
K02000001,United Kingdom,overview,2020-03-13,496
K02000001,United Kingdom,overview,2020-03-12,375
K02000001,United Kingdom,overview,2020-03-11,299
K02000001,United Kingdom,overview,2020-03-10,284
K02000001,United Kingdom,overview,2020-03-09,254
K02000001,United Kingdom,overview,2020-03-08,210
K02000001,United Kingdom,overview,2020-03-07,169
K02000001,United Kingdom,overview,2020-03-06,131
K02000001,United Kingdom,overview,2020-03-05,97
K02000001,United Kingdom,overview,2020-03-04,68
K02000001,United Kingdom,overview,2020-03-03,34
K02000001,United Kingdom,overview,2020-03-02,23
K02000001,United Kingdom,overview,2020-03-01,26
K02000001,United Kingdom,overview,2020-02-29,14
K02000001,United Kingdom,overview,2020-02-28,10
K02000001,United Kingdom,overview,2020-02-27,4
K02000001,United Kingdom,overview,2020-02-26,3
K02000001,United Kingdom,overview,2020-02-25,3
K02000001,United Kingdom,overview,2020-02-24,3
K02000001,United Kingdom,overview,2020-02-23,-5
K02000001,United Kingdom,overview,2020-02-22,-6
K02000001,United Kingdom,overview,2020-02-21,-6
K02000001,United Kingdom,overview,2020-02-20,-6
K02000001,United Kingdom,overview,2020-02-19,-5
K02000001,United Kingdom,overview,2020-02-18,-5
K02000001,United Kingdom,overview,2020-02-17,-5
K02000001,United Kingdom,overview,2020-02-16,3
K02000001,United Kingdom,overview,2020-02-15,5
K02000001,United Kingdom,overview,2020-02-14,5
K02000001,United Kingdom,overview,2020-02-13,3
K02000001,United Kingdom,overview,2020-02-12,6
K02000001,United Kingdom,overview,2020-02-11,6
K02000001,United Kingdom,overview,2020-02-10,6
K02000001,United Kingdom,overview,2020-02-09,2
K02000001,United Kingdom,overview,2020-02-08,1
K02000001,United Kingdom,overview,2020-02-07,1
K02000001,United Kingdom,overview,2020-02-06,3
